product_category_name,orders,sales_qty,revenue,avg_price,avg_freight,avg_rating,review_count
beleza_saude,8836,9670,1258681.34,130.16353050672183,18.879703205791106,4.14194826866917,9588
relogios_presentes,5624,5991,1205005.68,201.13598397596394,16.7811600734435,4.018855218855219,5940
cama_mesa_banho,9417,11115,1036988.68,93.29632748538012,18.415928025191185,3.899198688763431,10982
esporte_lazer,7720,8641,988048.97,114.34428538363615,19.512499710681634,4.107097074932992,8581
informatica_acessorios,6689,7827,911954.32,116.51390315574294,18.821781014437203,3.932793626317142,7782
moveis_decoracao,6449,8334,729762.49,87.56449364050876,20.728257739380847,3.909818181818182,8250
cool_stuff,3632,3796,635290.85,167.357968914647,22.138856691253952,4.145933014354067,3762
utilidades_domesticas,5884,6964,632248.66,90.78814761631247,20.986374210224007,4.056230124313386,6918
automotivo,3897,4235,592720.11,139.9575230224321,21.880569067296342,4.066078244274809,4192
ferramentas_jardim,3518,4347,485256.46,111.63019553715206,22.765757994018863,4.045654692931634,4315
brinquedos,3886,4117,483946.6,117.54836045664318,18.806400291474375,4.16017634092579,4083
bebes,2885,3065,411764.89,134.34417292006526,22.301177814029366,4.011184210526316,3040
perfumaria,3162,3419,399124.87,116.73731207955542,15.856636443404502,4.166226138032306,3405
telefonia,4199,4545,323667.53,71.21397799779979,15.669040704070406,3.9459219858156027,4512
moveis_escritorio,1273,1691,273960.7,162.0110585452395,40.551123595505615,3.4895646988670244,1677
papelaria,2311,2517,230943.23,91.75336909018674,18.592959872864522,4.194877951180472,2499
pcs,181,203,222963.13,1098.3405418719212,48.45467980295566,4.175,200
pet_shop,1710,1947,214315.41,110.0746841294299,20.319075500770413,4.184305627258647,1937
instrumentos_musicais,628,680,191498.88,281.616,27.409544117647062,4.1513353115727005,674
eletroportateis,630,679,190648.58,280.7784683357879,23.593888070692195,4.150074294205052,673
eletronicos,2550,2767,160246.74,57.913530899891576,16.833509215757136,4.037117903930131,2748
consoles_games,1062,1137,157465.22,138.49183817062445,17.438891820580476,4.023090586145648,1126
fashion_bolsas_e_acessorios,1864,2031,152823.54,75.24546528803546,15.484982767109798,4.146039603960396,2020
construcao_ferramentas_construcao,748,929,144677.59,155.7347578040904,22.22864370290635,4.050865800865801,924
malas_acessorios,1034,1092,140429.98,128.5988827838828,27.880247252747253,4.315257352941177,1088
eletrodomesticos_2,234,238,113317.74,476.1249579831933,44.53857142857143,4.139830508474576,236
casa_construcao,490,604,83088.12,137.56311258278146,22.901059602649006,3.9382303839732886,599
eletrodomesticos,764,771,80171.53,103.98382619974059,19.220363164721142,4.162760416666667,768
agro_industria_e_comercio,182,212,72530.47,342.12485849056606,27.56415094339623,4.0,212
moveis_sala,422,503,68916.56,137.0110536779324,35.72200795228628,3.9016064257028114,498
telefonia_fixa,217,264,59583.0,225.6931818181818,17.567462121212124,3.681992337164751,261
casa_conforto,397,434,58572.04,134.95861751152074,19.588087557603686,3.8356481481481484,432
climatizacao,253,297,55024.96,185.26922558922558,22.724680134680135,3.969178082191781,292
audio,350,364,50688.5,139.25412087912088,15.688021978021977,3.8305555555555557,360
portateis_casa_forno_e_cafe,75,76,47445.71,624.2856578947368,36.15605263157895,4.302631578947368,76
livros_interesse_geral,512,553,46856.88,84.73215189873417,16.62842676311031,4.446265938069216,549
moveis_cozinha_area_de_servico_jantar_e_jardim,248,281,46328.37,164.8696441281139,42.702597864768684,3.974910394265233,279
construcao_ferramentas_iluminacao,244,304,41080.0,135.1315789473684,24.94671052631579,4.0508474576271185,295
construcao_ferramentas_seguranca,167,194,40544.52,208.9923711340206,20.201546391752576,3.844559585492228,193
industria_comercio_e_negocios,235,268,39669.61,148.0209328358209,29.42044776119403,4.09811320754717,265
alimentos,450,510,29393.41,57.63413725490196,14.256921568627451,4.218181818181818,495
market_place,280,311,28378.47,91.2490996784566,17.543601286173633,4.019417475728155,309
construcao_ferramentas_jardim,194,238,25715.89,108.04995798319328,22.316806722689073,4.046218487394958,238
artes,202,209,24202.64,115.8021052631579,19.35488038277512,3.9371980676328504,207
fashion_calcados,240,262,23562.77,89.93423664122137,18.774312977099235,4.248062015503876,258
bebidas,297,379,22428.7,59.178627968337736,15.148416886543536,4.037533512064343,373
sinalizacao_e_seguranca,140,199,21509.23,108.08658291457286,32.70261306532664,4.086294416243655,197
moveis_quarto,95,109,20028.78,183.75027522935778,42.49752293577981,4.110091743119266,109
livros_tecnicos,260,267,19096.06,71.52082397003745,16.041423220973783,4.363636363636363,264
construcao_ferramentas_ferramentas,97,103,15903.95,154.40728155339806,19.710873786407767,4.444444444444445,99
alimentos_bebidas,227,278,15179.48,54.602446043165465,16.215791366906473,4.3140794223826715,277
fashion_roupa_masculina,112,132,10797.82,81.80166666666666,16.306136363636362,3.6412213740458017,131
fashion_underwear_e_moda_praia,121,131,9541.55,72.83625954198473,14.627404580152673,3.976923076923077,130
artigos_de_natal,128,153,8800.82,57.52169934640523,21.106535947712416,4.02054794520548,146
tablets_impressao_imagem,79,83,7528.41,90.70373493975903,14.773493975903614,4.1234567901234565,81
cine_foto,65,72,6933.46,96.29805555555555,17.447222222222223,4.194444444444445,72
musica,38,38,6034.35,158.79868421052632,18.171315789473685,4.2105263157894735,38
dvds_blu_ray,59,64,5999.39,93.74046875,20.1365625,4.079365079365079,63
livros_importados,53,60,4639.85,77.33083333333335,12.830833333333334,4.4,60
artigos_de_festas,39,43,4485.18,104.30651162790699,19.255116279069767,3.7674418604651163,43
moveis_colchao_e_estofado,38,38,4368.08,114.94947368421053,42.90684210526316,3.8157894736842106,38
portateis_cozinha_e_preparadores_de_alimentos,14,15,3968.5299999999997,264.5686666666667,20.650666666666666,3.2666666666666666,15
fashion_roupa_feminina,39,48,2803.64,58.409166666666664,12.953125,3.8125,48
fashion_esporte,27,30,2119.51,70.65033333333334,19.271,4.233333333333333,30
la_cuisine,13,14,2054.99,146.785,23.825,4.0,13
artes_e_artesanato,23,24,1814.01,75.58375,15.422083333333333,4.125,24
fraldas_higiene,27,39,1567.59,40.19461538461538,14.709743589743589,3.2564102564102564,39
pc_gamer,8,9,1545.95,171.77222222222224,14.841111111111111,3.3333333333333335,9
flores,29,33,1110.04,33.63757575757575,14.814242424242424,4.419354838709677,31
casa_conforto_2,24,30,760.27,25.342333333333332,13.677,3.6296296296296298,27
cds_dvds_musicais,12,14,730.0,52.142857142857146,16.070714285714285,4.642857142857143,14
fashion_roupa_infanto_juvenil,8,8,569.85,71.23125,11.93875,4.5,8
seguros_e_servicos,2,2,283.28999999999996,141.64499999999998,20.61,2.5,2
