delay_category,orders_count,avg_rating,avg_delivery_days,avg_processing_hours,avg_freight_value,avg_freight_ratio
Early >5 Days,79770,4.224953821796112,10.40941603031771,10.112036349936673,19.920171554700815,0.21402986672440127
On Time (0-5 Days Early),8879,4.09022936243306,14.914359050658787,12.219411021910018,18.315637732062218,0.20525983674920642
Late 1-5 Days,3615,3.4181454636340916,21.999280223889116,13.022504521167283,20.292572133168928,0.21630022986692235
Late >5 Days,4212,1.7818101349856164,39.48008748609124,12.694659513590844,23.697890557939914,0.2180305109840276
