seller_state,sellers,revenue,avg_rating
SP,1849,8753396.21,3.9477564899794415
PR,349,1261887.21,4.006137850040933
MG,244,1011564.74,4.0241972516930264
RJ,171,843984.22,3.94455422124819
SC,190,632426.07,4.0595701146320655
RS,129,378559.54,4.020512792821588
BA,19,285561.56,3.9439495303272394
DF,30,97749.48,4.02427038720763
PE,9,91493.84999999999,4.107029305305168
GO,40,66399.20999999999,4.082769614155859
ES,23,47689.61,4.2335575257461775
MA,1,36408.95,4.0
CE,13,20240.64,3.4724858474858475
PB,6,17095.0,4.277777777777778
MT,4,17070.72,4.208964646464646
RN,5,9992.6,4.485947204968944
MS,5,8551.69,4.288333333333333
RO,2,4762.2,3.854166666666667
PI,1,2522.0,4.083333333333333
SE,2,1606.2,3.9
PA,1,1238.0,4.5
AM,1,1177.0,2.3333333333333335
AC,1,267.0,1.0
