seller_state,shipped_orders,avg_processing_hours,avg_freight_value
AC,1,17.114444444444445,32.84
AM,3,0.05046296296296293,27.266666666666666
BA,569,11.482821842059789,30.638693623639192
CE,91,10.618469267139481,46.38117021276596
DF,824,10.94265047583735,20.57181312569522
ES,318,11.309130077658303,32.71809139784946
GO,463,9.780110576923077,24.164423076923075
MA,392,10.141327160493828,29.978493827160495
MG,7930,10.03240058910162,24.084633510819078
MS,49,9.094833333333334,23.979200000000002
MT,137,8.734819923371647,31.942965517241376
PA,8,10.091527777777777,19.388749999999998
PB,36,15.658143274853803,39.18815789473685
PE,406,12.104961557539683,27.66174107142857
PI,12,5.796805555555555,36.943333333333335
PR,7673,10.24047132513136,22.720968746396032
RJ,4353,9.864861226419446,19.47486508924865
RN,51,12.936597222222222,23.287678571428568
RO,14,6.447301587301587,50.91285714285714
RS,1989,10.4999965893588,26.031418826739426
SC,3667,11.45055221458572,26.146517791411043
SE,9,15.292222222222222,31.849
SP,70188,10.66229747524417,18.452212665853477
