Dataset,Feature,Description
Orders,order_processing_hours,Hours between purchase and approval
Orders,delivery_transit_days,Days between carrier pickup and customer delivery
Orders,transit_time_valid,Indicates whether delivery transit time is valid (non-negative)
Orders,transit_time_status,Validation status of delivery transit time
Orders,total_delivery_days,Total days from purchase to customer delivery
Orders,delivery_delay_days,Difference between actual and estimated delivery date
Orders,delivery_status,Categorized delivery performance
Orders,delivery_status,Delivery performance compared to estimated delivery date
Orders,purchase_year,Year in which the order was placed
Orders,purchase_month,Month number of purchase
Orders,purchase_month_name,Month name of purchase
Orders,purchase_quarter,Quarter of purchase
Orders,purchase_day_name,Day of week of purchase
Orders,purchase_day,Day of month
Orders,is_weekend_order,Whether the purchase was made on a weekend
Orders,purchase_hour,Hour of purchase
Orders,time_of_day,Part of the day when the order was placed
Customers,lifetime_orders,Total number of orders placed by customer
Customers,is_repeat_customer,Whether customer has placed more than one order
Customers,lifetime_spend,Total amount spent by customer across all orders
Customers,average_order_value,Average spend per order
Customers,customer_recency_days,Days since customer's most recent purchase
Customers,purchase_frequency,Average orders per customer lifetime day
Customers,customer_avg_review,Average review score given by customer
Customers,customer_avg_delivery_days,Average delivery time experienced by customer
Customers,customer_avg_processing_hours,Average order processing time
Customers,customer_value_tier,Customer segmentation based on lifetime spend
Sellers,seller_total_orders,Total unique orders fulfilled by seller
Sellers,seller_revenue,Total revenue generated by seller
Sellers,seller_avg_order_value,Average order value per seller
Sellers,seller_avg_review,Average customer review score
Sellers,seller_avg_delivery_days,Average customer delivery time
Sellers,seller_avg_processing_hours,Average order approval time
Sellers,seller_product_diversity,Number of unique products sold
Sellers,seller_avg_freight,Average freight charged by seller
Sellers,seller_customer_count,Unique customers served by seller
Sellers,seller_late_delivery_rate,Percentage of late deliveries
Sellers,seller_early_delivery_rate,Percentage of early deliveries
Sellers,seller_revenue_rank,Revenue ranking of seller
Sellers,seller_performance_tier,Seller performance based on revenue quartiles
Products,product_sales_count,Total number of times the product was sold
Products,product_revenue,Total revenue generated by product
Products,average_selling_price,Average selling price of the product
Products,average_freight,Average freight charged for the product
Products,average_product_rating,Average customer rating
Products,product_review_count,Total reviews received
Products,product_volume_cm3,Calculated package volume in cubic centimeters
Products,product_density,Weight per cubic centimeter
Products,weight_category,Product weight classification
Products,volume_category,Volume-based product segmentation
Products,freight_ratio,Freight as a proportion of selling price
Products,product_value_tier,Revenue-based product segmentation
Products,product_popularity_tier,Popularity based on sales count
Products,product_rating_category,Rating-based product segmentation
Products,shipping_cost_category,Shipping cost relative to selling price
Products,shipping_efficiency,Price generated per unit freight cost
Payments,average_installment_value,Average amount paid per installment
Payments,installment_category,Installment-based payment category
Payments,high_installment_flag,Indicates payments with six or more installments
Payments,payment_value_tier,Payment value segmentation
Reviews,rating_category,Review rating category
Reviews,review_sentiment,Customer sentiment derived from review score
Reviews,positive_review,Positive review indicator
Reviews,negative_review,Negative review indicator
Reviews,neutral_review,Neutral review indicator
Sellers,seller_avg_order_value,Average value of orders handled by seller
Sellers,seller_review_count,Total reviews received by seller
