Dataset,Feature,Data Type,Missing Values,Unique Values
Orders,order_id,str,0,99441
Orders,customer_id,str,0,99441
Orders,order_status,str,0,8
Orders,order_purchase_timestamp,datetime64[us],0,98875
Orders,order_approved_at,datetime64[us],160,90733
Orders,order_delivered_carrier_date,datetime64[us],1783,81018
Orders,order_delivered_customer_date,datetime64[us],2965,95664
Orders,order_estimated_delivery_date,datetime64[us],0,459
Orders,order_processing_hours,float64,160,33475
Orders,processing_speed_category,object,160,3
Orders,delivery_transit_days,float64,2966,92239
Orders,transit_time_valid,bool,0,2
Orders,transit_time_status,str,0,3
Orders,total_delivery_days,float64,2965,93809
Orders,delivery_delay_days,float64,2965,91915
Orders,delivery_status,object,2965,3
Orders,purchase_year,int32,0,3
Orders,purchase_month,int32,0,12
Orders,purchase_month_name,str,0,12
Orders,purchase_quarter,int32,0,4
Orders,purchase_day_name,str,0,7
Orders,purchase_day,int32,0,31
Orders,is_weekend_order,bool,0,2
Orders,purchase_hour,int32,0,24
Orders,time_of_day,category,0,4
Customers,customer_id,str,0,99441
Customers,customer_unique_id,str,0,96096
Customers,customer_zip_code_prefix,int64,0,14994
Customers,customer_city,str,0,4119
Customers,customer_state,str,0,27
Customers,lifetime_orders,int64,0,9
Customers,is_repeat_customer,bool,0,2
Customers,lifetime_spend,float64,0,31718
Customers,average_order_value,float64,0,27213
Customers,customer_recency_days,int64,0,630
Customers,customer_lifetime_days,int64,0,421
Customers,purchase_frequency,float64,0,314
Customers,customer_avg_review,float64,725,34
Customers,customer_avg_delivery_days,float64,2760,90947
Customers,customer_avg_processing_hours,float64,103,33838
Customers,customer_value_tier,category,0,4
Sellers,seller_id,str,0,3095
Sellers,seller_zip_code_prefix,int64,0,2246
Sellers,seller_city,str,0,611
Sellers,seller_state,str,0,23
Sellers,seller_total_orders,int64,0,251
Sellers,seller_revenue,float64,0,2778
Sellers,seller_avg_review,float64,5,815
Sellers,seller_avg_delivery_days,float64,125,2970
Sellers,seller_avg_processing_hours,float64,0,3024
Sellers,seller_product_diversity,int64,0,130
Sellers,seller_avg_freight,float64,0,2868
Sellers,seller_customer_count,int64,0,251
Sellers,seller_late_delivery_rate,float64,0,446
Sellers,seller_early_delivery_rate,float64,0,484
Sellers,seller_revenue_rank,int64,0,2778
Sellers,seller_performance_tier,category,0,4
Sellers,seller_avg_order_value,float64,0,2728
Sellers,seller_review_count,int64,0,261
Products,product_id,str,0,32951
Products,product_category_name,str,610,73
Products,product_name_lenght,float64,610,66
Products,product_description_lenght,float64,610,2960
Products,product_photos_qty,float64,610,19
Products,product_weight_g,float64,2,2204
Products,product_length_cm,float64,2,99
Products,product_height_cm,float64,2,102
Products,product_width_cm,float64,2,95
Products,product_sales_count,int64,0,141
Products,product_revenue,float64,0,10310
Products,average_selling_price,float64,0,8827
Products,average_freight,float64,0,12617
Products,average_product_rating,float64,162,649
Products,product_review_count,int64,0,142
Products,product_volume_cm3,float64,2,4525
Products,product_density,float64,2,13659
Products,weight_category,category,2,3
Products,volume_category,category,2,4
Products,freight_ratio,float64,0,28399
Products,product_value_tier,category,0,4
Products,product_popularity_tier,str,0,4
Products,product_rating_category,str,162,4
Products,shipping_cost_category,category,0,4
Payments,order_id,str,0,99440
Payments,payment_sequential,int64,0,29
Payments,payment_type,str,0,5
Payments,payment_installments,int64,0,24
Payments,payment_value,float64,0,29077
Payments,average_installment_value,float64,2,44773
Payments,installment_category,str,2,4
Payments,high_installment_flag,bool,0,2
Payments,payment_value_tier,category,0,4
Reviews,review_id,str,0,98410
Reviews,order_id,str,0,98673
Reviews,review_score,int64,0,5
Reviews,review_creation_date,str,0,636
Reviews,review_answer_timestamp,str,0,98248
Reviews,rating_category,str,0,4
Reviews,review_sentiment,str,0,3
Reviews,positive_review,bool,0,2
Reviews,negative_review,bool,0,2
Reviews,neutral_review,bool,0,2
